timeline_id,project_id,milestone_name,planned_date,actual_date,days_delayed,delay_reason,responsible_party,status,notes
1,443,Final Inspection,12-22-2026,,,,Engineer,In progress,
2,443,Bid Award,16/10/2024,,,,Owner,Skipped,
3,443,Project Closeout,07/02/2018,,,,Contractor,Delayed,Permit dependent
4,443,Design Complete,2025/06/30,,,,Contractor,Delayed,Permit dependent
5,443,50% Complete,2024-05-28,2025-03-09,285,Weather,Regulator,complete,Permit dependent
6,443,Ground Breaking,01/04/2023,,,,Third Party,Not Started,Permit dependent
7,102,Ground Breaking,03/12/2022,,,,Regulator,Complete,Float available
8,102,Design Complete,30/08/2021,,,,Owner,Complete,On critical path
9,102,50% Complete,2025-05-01,12/06/2023,-512,,Third Party,Delayed,
10,102,Environmental Review,09-18-2022,08/24/2019,-1121,,Owner,Delayed,
11,102,Project Closeout,20/08/2021,,2036,Funding gap,Owner,Complete,Permit dependent
12,102,Final Inspection,05-12-2023,2021/10/18,-571,,Regulator,Not Started,
13,479,Bid Award,07-04-2024,,-220,,Engineer,Delayed,Float available
14,479,Environmental Review,08-08-2022,2019/01/07,-1309,,Third Party,Skipped,On critical path
15,479,Design Complete,09/13/2021,10/16/2023,763,Contractor issues,Owner,Complete,
16,479,Project Closeout,16/03/2021,05/15/2021,60,Permitting,Regulator,Complete,Float available
17,479,50% Complete,2027-10-28,14/09/2022,-1870,,Regulator,Not Started,Float available
18,479,Ground Breaking,2023-05-10,,981,Contractor issues,Engineer,Delayed,Float available
19,85,Design Complete,07-01-2020,,2125,Supply chain delays,Owner,Complete,
20,85,50% Complete,02/01/2026,2019-09-08,-2338,,Owner,Delayed,Float available
21,447,Substantial Completion,2026/06/12,08-14-2025,-302,,Regulator,Skipped,On critical path
22,447,Environmental Review,2023/08/19,2026/04/09,964,Utility conflicts,Contractor,Delayed,Float available
23,447,50% Complete,01-07-2025,2026/05/11,489,Weather,Third Party,In Progress,
24,447,Bid Award,27/11/2019,2026/12/16,2576,Contractor issues,Regulator,,
25,447,Ground Breaking,2020-07-07,09/26/2022,811,Funding gap,Third Party,NOT STARTED,Float available
26,447,Project Closeout,2022/08/10,11-17-2027,1925,Permitting,Owner,In Progress,Permit dependent
27,447,Design Complete,2023/02/05,2026/02/22,1113,Permitting,Utility,Complete,Float available
28,202,Project Closeout,12/02/2023,08-22-2022,-467,,Contractor,In Progress,
29,202,Ground Breaking,04-11-2022,2026/09/22,1625,Labor shortage,Third Party,Skipped,
30,202,Environmental Review,2020/05/31,12-24-2018,,,Utility,Complete,On critical path
31,202,Design Complete,07-31-2019,01/04/2026,2349,Contractor issues,Owner,Complete,
32,202,Final Inspection,2020/02/01,27/11/2021,665,Permitting,Third Party,Not Started,Float available
33,202,50% Complete,2025/03/16,2027-12-27,1016,,Third Party,Not Started,
34,415,Substantial Completion,2023/10/19,2027-01-05,1174,Funding gap,Third Party,Complete,On critical path
35,415,Environmental Review,12-29-2024,13/10/2022,-808,,Utility,Complete,Float available
36,228,Final Inspection,29/03/2020,15/10/2027,2756,Labor shortage,Utility,Delayed,
37,228,Project Closeout,07/10/2025,,-207,,Regulator,COMPLETE,
38,228,50% Complete,05-02-2023,2024/11/21,569,Right-of-way,Third Party,In Progress,
39,228,Ground Breaking,2020-11-15,03-19-2025,1585,Environmental review,Utility,Delayed,Permit dependent
40,214,Final Inspection,08-27-2025,08/18/2026,?,Design changes,Third Party,Skipped,Float available
41,214,50% Complete,13/01/2024,11/09/2023,-124,,Third Party,Complete,
42,378,Substantial Completion,,10/17/2026,1993,Right-of-way,Owner,Not Started,On critical path
43,378,Design Complete,04/08/2019,12-18-2019,n/a,Weather,Regulator,Delayed,
44,378,Environmental Review,2025/09/01,22/08/2025,-10,,Owner,Delayed,Float available
45,378,50% Complete,2018-06-10,2020-09-03,,Environmental review,Third Party,In Progress,
46,378,Final Inspection,2024/05/03,2026/01/02,609,Right-of-way,Contractor,Not Started,
47,116,Ground Breaking,2020/08/10,2026/07/16,2166,Labor shortage,Regulator,Skipped,On critical path
48,116,Design Complete,01/03/2024,2019-10-16,-1598,,Owner,Delayed,On critical path
49,116,50% Complete,10/31/2018,03/12/2023,1859,,Third Party,Skipped,Permit dependent
50,356,Final Inspection,,,,,Regulator,Skipped,Permit dependent
51,356,50% Complete,07/17/2026,25/06/2024,-752,,Regulator,Delayed,Float available
52,329,Project Closeout,2026/04/12,,,,Utility,Complete,Float available
53,329,Final Inspection,2024-01-14,,,,Utility,Skipped,
54,329,50% Complete,04/15/2021,2019/09/24,-569,,Third Party,In progress,Permit dependent
55,329,Ground Breaking,08/29/2019,,TBD,,Regulator,Delayed,
56,329,Substantial Completion,05/19/2021,2027/12/06,TBD,Labor shortage,Utility,Skipped,On critical path
57,329,Bid Award,2027-11-15,,-799,,Utility,Not Started,
58,329,Environmental Review,04-07-2026,,,,Third Party,Not Started,
59,52,Project Closeout,07-01-2026,03-23-2025,-465,,Engineer,Delayed,
60,52,Substantial Completion,2026/06/10,07/02/2019,-2680,,Regulator,Delayed,Float available
61,52,Design Complete,08/09/2026,2025-12-25,-,,Engineer,Complete,Float available
62,52,Bid Award,11/11/2027,02/13/2023,-1732,,Regulator,In progress,
63,45,Final Inspection,2026-12-15,,-2966,,Engineer,In progress,On critical path
64,45,Substantial Completion,05/09/2024,04-19-2022,-751,,Owner,Skipped,
65,45,50% Complete,2019/11/03,2019-06-28,-128,,Third Party,Not Started,
66,45,Environmental Review,2023-06-06,2022-12-03,-185,,Utility,complete,On critical path
67,45,Project Closeout,2026-09-09,,-322,,Utility,complete,
68,45,Design Complete,2024/03/26,2027-12-19,1363,Contractor issues,Contractor,,Float available
69,45,Ground Breaking,11-23-2024,2027/04/30,888,Utility conflicts,Utility,In Progress,Permit dependent
70,45,Bid Award,10/01/2024,,-690,,Utility,In Progress,Permit dependent
71,159,Environmental Review,09/09/2024,,,,Utility,Complete,
72,159,Bid Award,2024/05/03,,,,Engineer,Not Started,
73,159,Ground Breaking,01-28-2025,,,,Regulator,Skipped,
74,159,Project Closeout,2026/02/14,,,,Utility,Not Started,
75,127,Substantial Completion,2018-06-28,,,,Engineer,Not Started,
